City,Lat,Lng,Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Leshukonskoye,64.8989,45.7622,31.26,31.26,92,100,5.37,RU,1619723608
Maumere,-8.6199,122.2111,77.25,77.25,74,87,3.18,ID,1619723586
San Mateo del Mar,16.2,-95.0,84.13,84.13,73,45,20.4,MX,1619723609
Lima Duarte,-21.8425,-43.7931,70.07,71.01,64,40,9.22,BR,1619723609
Ulladulla,-35.35,150.4667,51.85,55.0,100,1,6.91,AU,1619723418
Dalvik,65.9702,-18.5286,41.0,41.0,70,0,14.97,IS,1619723499
Newton,42.337,-71.2092,50.72,53.01,100,100,4.61,US,1619723610
Sāveh,35.0213,50.3566,72.43,72.43,25,0,8.72,IR,1619723610
Necochea,-38.5473,-58.7368,77.0,77.0,47,8,8.01,AR,1619723611
Stepnyak,52.8339,70.7803,43.65,43.65,51,16,7.65,KZ,1619723611
São Sebastião,-23.76,-45.4097,72.07,72.07,72,13,5.23,BR,1619723611
Sarapulka,56.8678,61.0552,35.6,35.6,93,40,4.47,RU,1619723612
Vestmanna,62.1564,-7.1664,37.4,37.4,75,75,10.36,FO,1619723612
Codrington,-38.2667,141.9667,52.03,52.03,84,0,6.02,AU,1619723613
Manokwari,-0.8667,134.0833,77.68,77.68,78,100,4.12,ID,1619723613
Murgab,37.4966,61.9714,73.4,73.4,46,90,20.71,TM,1619723613
Port-Gentil,-0.7193,8.7815,78.8,78.8,89,75,5.75,GA,1619723614
Santomera,38.0615,-1.0488,68.77,71.01,57,100,4.54,ES,1619723614
Khumalag,43.2403,44.4752,55.2,55.4,71,100,6.71,RU,1619723614
Danjiangkou,32.5428,111.5086,64.72,64.72,62,97,4.5,CN,1619723615
Ibrā’,22.6906,58.5334,83.07,83.07,28,99,6.82,OM,1619723615
Evensk,61.95,159.2333,23.04,23.04,71,0,8.72,RU,1619723616
Puerto Escondido,15.85,-97.0667,86.0,86.0,70,75,9.22,MX,1619723616
Kota Belud,6.351,116.4305,75.11,75.2,94,20,4.61,MY,1619723616
Thul,28.2403,68.7759,84.2,84.2,45,34,8.84,PK,1619723617
Tonekābon,36.8163,50.8738,62.6,62.6,88,20,4.61,IR,1619723617
La Grande,45.3246,-118.0877,69.62,73.0,48,100,6.15,US,1619723401
Salalah,17.0151,54.0924,84.2,84.2,79,20,6.91,OM,1619723618
Tyrma,50.0833,132.1667,33.64,33.64,94,1,3.36,RU,1619723618
Rocha,-34.4833,-54.3333,72.12,72.12,49,0,1.32,UY,1619723426
Usinsk,65.9939,57.5281,26.94,26.94,70,99,3.69,RU,1619723619
Stornoway,58.2093,-6.3865,44.76,45.0,70,20,14.97,GB,1619723619
Korsholm,63.1142,21.6822,34.74,36.0,80,0,3.44,FI,1619723575
Flinders,-34.5833,150.8552,53.58,54.0,88,0,1.01,AU,1619723620
Taguatinga,-12.3857,-46.5711,85.35,85.35,51,100,2.8,BR,1619723620
Plymouth,41.8334,-70.8328,53.26,55.99,94,90,5.75,US,1619723621
Derzhavīnsk,51.1,66.3167,48.2,48.2,49,99,8.48,KZ,1619723621
Muisne,0.6,-80.0333,82.4,82.4,83,75,8.05,EC,1619723621
Batamshinskiy,50.5594,58.2747,42.8,42.8,65,0,11.18,KZ,1619723622
Hofn,64.2539,-15.2082,40.03,40.03,78,82,7.7,IS,1619723622
San Felipe,10.3399,-68.7425,70.75,70.75,95,100,2.42,VE,1619723622
Itaituba,-4.2761,-55.9836,89.6,89.6,66,40,5.75,BR,1619723623
Atar,20.5169,-13.0499,102.2,102.2,13,99,16.11,MR,1619723623
Fairbanks,64.8378,-147.7164,42.1,43.0,52,90,1.97,US,1619723586
Yuci,37.6803,112.7319,46.4,46.4,46,0,2.24,CN,1619723623
Pavlovka,52.6897,47.1405,41.81,41.81,73,27,6.29,RU,1619723624
Matara,5.9485,80.5353,77.79,77.79,89,100,6.31,LK,1619723473
Beloha,-25.1667,45.05,73.81,73.81,77,0,8.21,MG,1619723624
Yangambi,0.8102,24.4336,72.19,72.19,95,100,2.91,CD,1619723624
Caravelas,-17.7125,-39.2481,75.74,75.74,81,63,12.3,BR,1619723625
Aykhal,66.0,111.5,13.21,13.21,99,100,4.72,RU,1619723625
Vostok,46.4856,135.8833,33.31,33.31,54,64,3.74,RU,1619723625
Saldanha,-33.0117,17.9442,59.0,59.0,67,0,17.27,ZA,1619723396
Batagay,67.6333,134.6333,19.67,19.67,97,99,2.08,RU,1619723626
Iwanai,42.9744,140.5089,45.57,45.57,92,100,3.69,JP,1619723626
Parry Sound,45.3501,-80.033,53.6,53.6,71,97,3.87,CA,1619723626
Envira,-7.3,-70.2167,80.38,80.38,74,100,5.12,BR,1619723627
Salta,-24.7859,-65.4117,69.35,69.8,46,20,6.91,AR,1619723618
Jinchang,38.4953,102.1739,59.83,59.83,24,3,11.34,CN,1619723411
San Policarpo,12.1791,125.5072,75.43,75.43,85,100,2.64,PH,1619723627
Opuwo,-18.0607,13.84,73.65,73.65,38,39,6.44,NA,1619723628
Bogorodskoye,56.55,37.8833,38.79,38.79,79,100,6.51,RU,1619723628
Atlantic City,39.3643,-74.4229,72.32,80.6,47,20,10.36,US,1619723433
Bennington,42.8781,-73.1968,58.62,60.8,94,90,1.88,US,1619723629
Katima Mulilo,-17.5,24.2667,74.05,74.05,51,89,1.86,NA,1619723629
Magway,20.15,94.9167,85.91,85.91,57,2,3.0,MM,1619723629
Samaná,19.2056,-69.3369,87.8,87.8,66,40,13.8,DO,1619723432
Chapais,49.7834,-74.8492,57.2,57.2,33,1,3.44,CA,1619723630
Bengkulu,-3.8004,102.2655,75.65,75.65,91,72,3.87,ID,1619723528
Inírida,3.8653,-67.9239,74.55,74.55,97,100,2.21,CO,1619723630
Lokosovo,61.1333,74.8167,39.43,39.43,85,100,11.43,RU,1619723630
Muhos,64.808,25.9931,33.4,33.8,60,0,8.05,FI,1619723631
Port Augusta,-32.5,137.7667,46.4,46.4,93,0,5.75,AU,1619723631
Aldan,58.6031,125.3894,20.68,20.68,97,100,3.18,RU,1619723631
Ossora,59.2353,163.0719,33.89,33.89,98,100,1.97,RU,1619723341
Khandagayty,50.7333,92.05,51.64,51.64,40,100,2.91,RU,1619723632
Vestmannaeyjar,63.4427,-20.2734,42.8,42.8,87,75,5.75,IS,1619723632
Iqaluit,63.7506,-68.5145,33.39,33.8,93,90,9.22,CA,1619723633
Sinnamary,5.3833,-52.95,79.09,79.09,86,85,9.93,GF,1619723480
Chengde,40.9725,117.9361,39.94,39.94,21,100,0.94,CN,1619723551
Kavaratti,10.5669,72.642,84.79,84.79,71,12,5.03,IN,1619723434
Coquimbo,-29.9533,-71.3436,66.2,66.2,59,0,10.36,CL,1619723633
Tura,25.5198,90.2201,80.1,80.1,31,0,3.31,IN,1619723634
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,73.99,73.99,46,0,1.99,AR,1619723634
Ixtapa,20.7,-105.2,80.6,80.6,74,75,10.36,MX,1619723634
Aksarka,66.5606,67.7975,24.04,24.04,95,100,8.19,RU,1619723635
Purificación,3.8587,-74.9313,82.2,82.2,68,90,3.2,CO,1619723635
Te Anau,-45.4167,167.7167,51.22,51.22,93,100,5.35,NZ,1619723636
Igra,57.5558,53.0547,34.72,34.72,84,100,4.76,RU,1619723636
Hirado,33.3597,129.5531,60.01,60.01,58,100,5.01,JP,1619723636
Qasigiannguit,68.8193,-51.1922,39.2,39.2,60,75,3.44,GL,1619723376
Nuuk,64.1835,-51.7216,30.2,30.2,100,90,4.61,GL,1619723637
Dubbo,-32.25,148.6167,46.4,46.4,87,0,10.36,AU,1619723637
Zeya,53.75,127.2667,35.04,35.04,90,66,4.61,RU,1619723638
Hamilton,39.1834,-84.5333,65.28,66.2,94,90,6.91,US,1619723430
Altamira,-3.2033,-52.2064,89.6,89.6,66,75,6.91,BR,1619723638
Malanje,-9.5402,16.341,66.52,66.52,93,100,2.24,AO,1619723638
Grand Gaube,-20.0064,57.6608,75.99,75.99,86,28,5.99,MU,1619723639
Isiolo,0.3546,37.5822,70.12,70.12,69,83,9.4,KE,1619723639
Porbandar,21.6422,69.6093,82.27,82.27,75,100,10.13,IN,1619723639
Arrondissement de Blois,47.5833,1.3333,53.76,55.4,50,0,7.76,FR,1619723640
Fukuechō,32.6881,128.8419,62.58,62.58,61,100,27.2,JP,1619723640
eMkhomazi,-30.2067,30.7978,69.49,72.0,83,100,5.99,ZA,1619723641
Ambon City,-3.6954,128.1814,80.62,80.62,72,98,2.59,ID,1619723408
Dejen,10.1667,38.1333,58.93,58.93,73,38,3.94,ET,1619723641
Columbus,39.9612,-82.9988,63.05,66.0,94,90,16.11,US,1619723602
Baikunthpur,23.25,82.55,81.48,81.48,12,75,3.18,IN,1619723642
Udarnyy,54.3409,42.8611,39.52,39.52,88,13,4.45,RU,1619723642
Cambará,-23.0464,-50.0736,79.97,79.97,26,0,9.06,BR,1619723642
Sittwe,20.15,92.9,81.03,81.03,78,3,3.06,MM,1619723421
Semenyih,2.9516,101.843,78.98,80.01,94,40,2.3,MY,1619723643
Yashkul',46.1711,45.3435,56.14,56.14,69,100,8.34,RU,1619723643
Rome,43.2128,-75.4557,53.62,54.0,94,90,1.14,US,1619723346
Boysun,38.2061,67.1986,69.19,69.19,28,0,3.78,UZ,1619723644
Santa Cruz de la Sierra,-17.8,-63.1667,79.9,80.6,39,40,13.8,BO,1619723644
Mogadishu,2.0371,45.3438,83.35,83.35,76,70,11.52,SO,1619723644
Zhicheng,30.2956,111.5047,68.0,68.0,77,5,3.94,CN,1619723645
Abu Samrah,35.3029,37.1841,75.04,75.04,36,0,8.3,SY,1619723645
Kautokeino,69.0125,23.0412,24.67,24.67,89,100,8.81,NO,1619723645
La Reforma,18.1,-91.0167,103.53,103.53,26,0,9.8,MX,1619723646
Nacala,-14.5428,40.6728,75.79,75.79,89,16,4.34,MZ,1619723646
Okhotsk,59.3833,143.3,30.74,30.74,90,80,1.7,RU,1619723646
Dzilam González,21.2833,-88.9333,98.17,98.17,30,0,6.73,MX,1619723647
Asău,46.4333,26.4,51.01,51.01,65,11,4.7,RO,1619723647
Villanueva,15.3167,-88.0,97.84,99.0,36,20,3.44,HN,1619723647
Barabinsk,55.3571,78.357,41.76,41.76,83,42,8.19,RU,1619723648
Warrington,53.3925,-2.5802,44.6,48.2,71,20,8.05,GB,1619723648
Labuhan,-6.8844,112.2051,77.31,77.31,89,79,6.82,ID,1619723648
Wanning,18.8003,110.3967,74.91,74.91,91,96,6.26,CN,1619723649
San Angelo,31.4638,-100.437,63.01,64.4,72,90,13.8,US,1619723486
Abhā,18.2164,42.5053,60.8,60.8,72,40,6.91,SA,1619723649
Arrondissement de Bastia,42.6667,9.3333,58.24,60.01,94,75,4.61,FR,1619723650
Rosarito,32.3333,-117.0333,79.99,86.0,38,1,9.22,MX,1619723527
San Quintín,30.4833,-115.95,71.96,71.96,47,0,12.17,MX,1619723650
Kachug,53.9606,105.8817,28.54,28.54,79,35,1.79,RU,1619723651
Bokoro,12.3807,17.0568,93.43,93.43,8,0,8.43,TD,1619723651
Shingū,33.7333,135.9833,52.45,52.45,88,7,6.44,JP,1619723651
Lewiston,44.1003,-70.2148,51.24,52.0,87,100,8.05,US,1619723652
Zaozyornoye,45.1582,33.2787,52.0,52.0,64,6,9.91,UA,1619723652
Prudentópolis,-25.2131,-50.9778,72.05,72.05,35,0,4.14,BR,1619723653
Uray,60.1247,64.7758,39.16,39.16,77,52,9.91,RU,1619723654
Husavik,66.0449,-17.3389,41.0,41.0,75,0,14.97,IS,1619723655
